"X","Province","Year","HHI","CCD","ACC","GINI","POV","INC","HDI","CCD_lag_3year","AM_lag_3year","HHI_lag_3year","GINI_lag_3year","POV_lag_3year","INC_lag_3year","HDI_lag_3year"
1,"ABRA","2007",5.11523811578161,0.454545454545455,9.5,0.720380205645118,0.347,7.72996254864618,0.479,0.295620437956204,9.33333333333333,4.67223533330835,0.790939830387861,0.414,7.48862747114146,0.539
2,"ABRA","2010",5.19766941164548,0.456445993031359,10.5833333333333,0.723945299527174,0.256,8.12834876151058,0.496,0.454545454545455,9.5,5.11523811578161,0.720380205645118,0.347,7.72996254864618,0.479
3,"ABRA","2013",5.3428772013421,0.491289198606272,7.08333333333333,0.704918234599171,0.289,8.2077488854696,0.557,0.456445993031359,10.5833333333333,5.19766941164548,0.723945299527174,0.256,8.12834876151058,0.496
4,"ABRA","2016",5.01008732139383,0.458041958041958,8.94285714285714,0.738263717788458,0.186,8.5352118794189,0.569,0.491289198606272,7.08333333333333,5.3428772013421,0.704918234599171,0.289,8.2077488854696,0.557
5,"ABRA","2019",4.59069617427631,0.387931034482759,12.5833333333333,0.745029402433836,0.215,8.39098608227912,0.61,0.458041958041958,8.94285714285714,5.01008732139383,0.738263717788458,0.186,8.5352118794189,0.569
8,"AGUSAN DEL NORTE","2007",4.90815785246816,0.138211382113821,4,0.848499011738033,0.394,6.51222441516211,0.528,0.138686131386861,3.5,4.85044029571253,0.849622615530846,0.373,6.28459636356713,0.527
9,"AGUSAN DEL NORTE","2010",4.96505088739292,0.182481751824817,2.66666666666667,0.842405622357681,0.266,6.74352806460803,0.566,0.138211382113821,4,4.90815785246816,0.848499011738033,0.394,6.51222441516211,0.528
10,"AGUSAN DEL NORTE","2013",5.07051921680624,0.196850393700787,5.16666666666667,0.845669263075426,0.328,6.85079029767997,0.585,0.182481751824817,2.66666666666667,4.96505088739292,0.842405622357681,0.266,6.74352806460803,0.566
11,"AGUSAN DEL NORTE","2016",4.96822611217116,0.253623188405797,7.33333333333333,0.761565515223013,0.244,7.182036179005,0.597,0.196850393700787,5.16666666666667,5.07051921680624,0.845669263075426,0.328,6.85079029767997,0.585
12,"AGUSAN DEL NORTE","2019",5.18621414736795,0.240601503759398,5.8,0.809523784942379,0.308,7.32617853645334,0.62,0.253623188405797,7.33333333333333,4.96822611217116,0.761565515223013,0.244,7.182036179005,0.597
15,"AGUSAN DEL SUR","2007",5.432242632325,0.252032520325203,2.33333333333333,0.842846936597588,0.527,7.12983148168242,0.438,0.202614379084967,2.16666666666667,5.2115923741749,0.865715288645149,0.454,6.86539559010733,0.415
16,"AGUSAN DEL SUR","2010",5.57371572359335,0.309677419354839,3.5,0.845051010055726,0.396,7.41105709737532,0.4,0.252032520325203,2.33333333333333,5.432242632325,0.842846936597588,0.527,7.12983148168242,0.438
17,"AGUSAN DEL SUR","2013",5.40758885271938,0.329032258064516,4.5,0.765111959747468,0.478,7.52424235515995,0.476,0.309677419354839,3.5,5.57371572359335,0.845051010055726,0.396,7.41105709737532,0.4
18,"AGUSAN DEL SUR","2016",5.26874426582571,0.285714285714286,4,0.812865784174957,0.379,7.80994684753153,0.478,0.329032258064516,4.5,5.40758885271938,0.765111959747468,0.478,7.52424235515995,0.476
19,"AGUSAN DEL SUR","2019",5.5085842149219,0.313725490196078,2.41666666666667,0.776649639018183,0.413,8.06845399266844,0.62,0.285714285714286,4,5.26874426582571,0.812865784174957,0.379,7.80994684753153,0.478
22,"AKLAN","2007",5.14299419504192,0.393258426966292,4.83333333333333,0.656481239547959,0.33,6.93203459544572,0.492,0.379679144385027,6.08333333333333,5.09129830248496,0.637977579383926,0.321,6.52143681217603,0.465
23,"AKLAN","2010",5.05003972881437,0.365168539325843,7.66666666666667,0.70310773017693,0.152,7.32602106570133,0.496,0.393258426966292,4.83333333333333,5.14299419504192,0.656481239547959,0.33,6.93203459544572,0.492
24,"AKLAN","2013",5.37946740645526,0.446327683615819,6.83333333333333,0.647218928919131,0.161,7.61124472199587,0.61,0.365168539325843,7.66666666666667,5.05003972881437,0.70310773017693,0.152,7.32602106570133,0.496
25,"AKLAN","2016",5.40208328689971,0.436170212765957,3.69444444444444,0.674741321982523,0.121,7.83590460338381,0.657,0.446327683615819,6.83333333333333,5.37946740645526,0.647218928919131,0.161,7.61124472199587,0.61
26,"AKLAN","2019",5.61458928540032,0.45,4.66666666666667,0.645309486943645,0.202,8.006118921407,0.66,0.436170212765957,3.69444444444444,5.40208328689971,0.674741321982523,0.121,7.83590460338381,0.657
29,"ALBAY","2007",4.41798152154623,0.178217821782178,7,0.842887877563783,0.299,6.40133379440867,0.573,0.17910447761194,8.91666666666667,4.45402689638546,0.810515742777941,0.308,6.17970702808377,0.529
30,"ALBAY","2010",4.48967614342706,0.194029850746269,7.66666666666667,0.809016393160897,0.342,6.88734830498727,0.534,0.178217821782178,7,4.41798152154623,0.842887877563783,0.299,6.40133379440867,0.573
31,"ALBAY","2013",4.44607251775142,0.195,10.0833333333333,0.790567524834188,0.262,6.77926861105243,0.523,0.194029850746269,7.66666666666667,4.48967614342706,0.809016393160897,0.342,6.88734830498727,0.534
32,"ALBAY","2016",4.59786241888674,0.238578680203046,6.91666666666667,0.781999189429318,0.212,7.08524963774685,0.606,0.195,10.0833333333333,4.44607251775142,0.790567524834188,0.262,6.77926861105243,0.523
33,"ALBAY","2019",4.41954029045654,0.185714285714286,8.7,0.813463355017482,0.204,7.34869916819656,0.6,0.238578680203046,6.91666666666667,4.59786241888674,0.781999189429318,0.212,7.08524963774685,0.606
36,"ANTIQUE","2007",4.95271425097784,0.337142857142857,5.33333333333333,0.726948782639405,0.337,6.77319741262795,0.45,0.271794871794872,7.33333333333333,4.71501687531224,0.774997419278375,0.391,6.56416222660346,0.505
37,"ANTIQUE","2010",5.13673851769899,0.355670103092783,10,0.724806183383411,0.207,7.29518188720592,0.533,0.337142857142857,5.33333333333333,4.95271425097784,0.726948782639405,0.337,6.77319741262795,0.45
38,"ANTIQUE","2013",5.01810558259374,0.325153374233129,9.21666666666667,0.781221823376933,0.26,7.36494670004511,0.606,0.355670103092783,10,5.13673851769899,0.724806183383411,0.207,7.29518188720592,0.533
39,"ANTIQUE","2016",5.14176206260319,0.401041666666667,9.08333333333333,0.645433902261251,0.191,7.64416333389564,0.708,0.325153374233129,9.21666666666667,5.01810558259374,0.781221823376933,0.26,7.36494670004511,0.606
40,"ANTIQUE","2019",4.99551804038558,0.298969072164949,8.46666666666667,0.676727066544127,0.237,7.94810490211345,0.64,0.401041666666667,9.08333333333333,5.14176206260319,0.645433902261251,0.191,7.64416333389564,0.708
43,"APAYAO","2007",5.85169425159559,0.28169014084507,2.4,0.766100855531995,0.286,8.25633637773367,0.44,0.222222222222222,0.75,5.66054259839443,0.787914196429467,0.315,7.89453683148369,0.472
44,"APAYAO","2010",5.86788348533663,0.292682926829268,2,0.744141897702336,0.453,8.30613810974408,0.527,0.28169014084507,2.4,5.85169425159559,0.766100855531995,0.286,8.25633637773367,0.44
45,"APAYAO","2013",5.90126627918983,0.353658536585366,2.66666666666667,0.706131973153954,0.433,8.42182868741638,0.399,0.292682926829268,2,5.86788348533663,0.744141897702336,0.453,8.30613810974408,0.527
46,"APAYAO","2016",5.75154046142368,0.341463414634146,4.5,0.712404590789284,0.197,8.79875113657275,0.57,0.353658536585366,2.66666666666667,5.90126627918983,0.706131973153954,0.433,8.42182868741638,0.399
47,"APAYAO","2019",5.54737950687993,0.247058823529412,2,0.743306260799251,0.068,9.03942088486138,0.56,0.341463414634146,4.5,5.75154046142368,0.712404590789284,0.197,8.79875113657275,0.57
50,"AURORA","2007",5.59245066867814,0.274725274725275,3,0.805806115923458,0.031,7.47335941804145,0.59,0.25,4,5.52752551758502,0.837768593544248,0.092,7.19485452287234,0.565
51,"AURORA","2010",5.71181596322503,0.344444444444444,2.5,0.765353020800877,0.14,7.82876857278573,0.661,0.274725274725275,3,5.59245066867814,0.805806115923458,0.031,7.47335941804145,0.59
52,"AURORA","2013",5.46019302578337,0.292682926829268,5.33333333333333,0.700125053639562,0.338,7.85566288798284,0.564,0.344444444444444,2.5,5.71181596322503,0.765353020800877,0.14,7.82876857278573,0.661
53,"AURORA","2016",5.48310165486992,0.24468085106383,2.25,0.725454514128101,0.164,8.13172110424294,0.763,0.292682926829268,5.33333333333333,5.46019302578337,0.700125053639562,0.338,7.85566288798284,0.564
54,"AURORA","2019",5.53029466024933,0.237623762376238,4,0.798969651372027,0.216,8.3542248089296,0.63,0.24468085106383,2.25,5.48310165486992,0.725454514128101,0.164,8.13172110424294,0.763
57,"BASILAN","2007",5.37375698498968,0.185185185185185,3.5,0.820020784023826,0.208,6.95771543939134,0.411,0.120481927710843,1.16666666666667,5.31225287888371,0.865872961996476,0.189,6.69301056200823,0.38
58,"BASILAN","2010",5.02635136748543,0.241379310344828,6,0.808255939997379,0.291,7.1508308962738,0.362,0.185185185185185,3.5,5.37375698498968,0.820020784023826,0.208,6.95771543939134,0.411
59,"BASILAN","2013",5.01774060037182,0.251700680272109,6.11666666666667,0.7679634133252,0.455,7.20690375746412,0.445,0.241379310344828,6,5.02635136748543,0.808255939997379,0.291,7.1508308962738,0.362
60,"BASILAN","2016",5.46390713175534,0.381578947368421,6.28333333333333,0.698177297150906,0.735,7.3755489806357,0.459,0.251700680272109,6.11666666666667,5.01774060037182,0.7679634133252,0.455,7.20690375746412,0.445
61,"BASILAN","2019",5.69915818895909,0.369565217391304,4.5,0.732576478300172,0.535,7.58482040931724,0.57,0.381578947368421,6.28333333333333,5.46390713175534,0.698177297150906,0.735,7.3755489806357,0.459
64,"BATAAN","2007",5.40837015784782,0.392592592592593,4.16666666666667,0.759397344524425,0.047,7.44290419934486,0.673,0.311111111111111,3.83333333333333,5.43547654023317,0.757816280073823,0.063,6.7396027480386,0.644
65,"BATAAN","2010",5.54075601533015,0.407407407407407,4.47619047619048,0.742364418888308,0.037,7.36125325569493,0.696,0.392592592592593,4.16666666666667,5.40837015784782,0.759397344524425,0.047,7.44290419934486,0.673
66,"BATAAN","2013",5.45272268515816,0.324786324786325,3.66666666666667,0.794254203693247,0.012,7.42332262539147,0.705,0.407407407407407,4.47619047619048,5.54075601533015,0.742364418888308,0.037,7.36125325569493,0.696
