,Province,2004,2007,2010,2013,2016,2019,2022
0,PALAWAN,0.26819923371647514,0.29824561403508776,0.33203125,0.33466135458167334,0.31950207468879666,0.30800000000000005,0.3601532567049809
1,AURORA,0.25,0.27472527472527475,0.34444444444444444,0.29268292682926833,0.24468085106382975,0.2376237623762376,0.3076923076923077
2,BOHOL,0.32193158953722334,0.4046121593291404,0.4271047227926078,0.4092827004219409,0.42798353909465026,0.3467741935483871,0.3928571428571429
3,LA UNION,0.32258064516129037,0.3846153846153846,0.3598130841121495,0.40740740740740744,0.42105263157894735,0.3767441860465116,0.36986301369863017
4,NUEVA VIZCAYA,0.2222222222222222,0.18709677419354842,0.19393939393939397,0.18292682926829273,0.23170731707317072,0.18666666666666665,0.25903614457831325
5,QUEZON,0.31463414634146336,0.40931372549019607,0.3904761904761904,0.3846153846153846,0.42755344418052255,0.3854389721627409,0.4454342984409799
6,ILOILO,0.2516268980477223,0.3259423503325942,0.3438202247191011,0.3484848484848485,0.3709327548806941,0.32516703786191536,0.3683083511777302
7,BATAAN,0.3111111111111111,0.3925925925925926,0.40740740740740744,0.32478632478632474,0.4626865671641791,0.3426573426573427,0.44525547445255476
8,ZAMBOANGA DEL SUR,0.1768707482993197,0.2441471571906354,0.26774193548387093,0.22558922558922556,0.22916666666666663,0.2206896551724138,0.28525641025641024
9,BATANGAS,0.4696969696969697,0.5714285714285714,0.57909604519774,0.5755813953488372,0.5972972972972973,0.5277777777777778,0.6099476439790577
10,LANAO DEL NORTE,0.1872509960159362,0.31355932203389836,0.3527131782945736,0.3252032520325203,0.4061302681992337,0.38306451612903225,0.3843283582089553
11,NEGROS OCCIDENTAL,0.31043956043956045,0.37609329446064144,0.3796791443850267,0.3542234332425068,0.3878627968337731,0.3666666666666667,0.434010152284264
12,DAVAO DEL SUR,0.17647058823529416,0.2102272727272727,0.18478260869565222,0.1863354037267081,0.1398601398601399,0.18571428571428572,0.2108843537414966
13,MASBATE,0.30567685589519655,0.3348623853211009,0.3407079646017699,0.4096916299559471,0.3771929824561403,0.368421052631579,0.4199134199134199
14,CAGAYAN,0.3184713375796179,0.38032786885245906,0.375,0.4281150159744409,0.4372990353697749,0.37689969604863227,0.44307692307692303
15,SURIGAO DEL SUR,0.2878048780487805,0.3827751196172249,0.4809523809523809,0.416267942583732,0.3761904761904762,0.37378640776699024,0.44339622641509435
16,BASILAN,0.12048192771084343,0.18518518518518523,0.24137931034482762,0.2517006802721088,0.381578947368421,0.3695652173913043,0.3466666666666667
17,NEGROS ORIENTAL,0.34050179211469533,0.36690647482014394,0.3992932862190812,0.3992805755395683,0.4053030303030303,0.3876811594202898,0.4355400696864111
18,CAMARINES SUR,0.2142857142857143,0.2870090634441088,0.3307888040712468,0.3023255813953488,0.3386243386243386,0.2772020725388601,0.3308080808080808
19,LEYTE,0.2870370370370371,0.3564814814814815,0.32808988764044944,0.2757009345794392,0.3212669683257918,0.3041362530413625,0.31009615384615385
20,ZAMBALES,0.16551724137931034,0.26712328767123283,0.21678321678321677,0.2206896551724138,0.22435897435897434,0.2097902097902098,0.28220858895705525
21,ANTIQUE,0.27179487179487183,0.3371428571428572,0.35567010309278346,0.32515337423312884,0.40104166666666663,0.2989690721649485,0.3233830845771144
22,SORSOGON,0.19760479041916168,0.226027397260274,0.22155688622754488,0.23636363636363633,0.22754491017964074,0.2360248447204969,0.31360946745562135
23,EASTERN SAMAR,0.31950207468879666,0.40585774058577406,0.4608695652173913,0.4454976303317536,0.4622222222222222,0.4347826086956522,0.44396551724137934
24,BUKIDNON,0.12916666666666665,0.1601731601731602,0.17012448132780078,0.21621621621621623,0.19574468085106378,0.18695652173913047,0.244
