Province,2004,2007,2010,2013,2016,2019,2022
PALAWAN,117.27651782782198,132.2721044835175,139.62588406371867,148.79955855684517,139.2464170687612,112.9328618071972,147.3793151489218
ZAMBOANGA DEL NORTE,84.11572899953421,109.35747476365964,108.37900954184693,131.37408632265834,105.45408840990807,103.59055742908153,100.78081567248448
PANGASINAN,125.10342371780774,207.77371435968797,186.4471612227185,149.16242898554157,209.8087929334488,172.61831477779276,187.90997581995163
MISAMIS ORIENTAL,109.9864944177654,124.77128372472465,107.20845436781778,102.68116685475871,114.66968176924887,134.0349211854583,121.63099484740388
CAGAYAN,77.13598156644328,103.57860280877375,104.23881363905424,118.70016267514774,148.34682548961777,112.39017482742035,138.58430847169987
BENGUET,86.61145860450715,96.35555555555558,98.71314087906057,99.26026879910678,89.49864312930018,91.97049777538895,94.26540798611111
MISAMIS OCCIDENTAL,131.6366390306123,188.53631849170944,126.2300923768537,150.55900078609483,196.0298239926774,134.89387026383656,198.7575409365125
NORTHERN SAMAR,173.46875961834414,175.56924150330744,157.68671420529176,128.54033580191083,166.0267807295559,181.6708045664274,184.90243776202064
LEYTE,74.69043501785916,79.90998750745737,68.81807683904998,66.62063179153625,75.93013762282752,64.50240504806617,70.71316328312248
ORIENTAL MINDORO,101.29419873155993,144.82429715844953,147.39734164995917,134.674592287761,158.880080958003,132.5867831843067,177.75
KALINGA,141.99036717332828,144.3459388628407,248.34603551247767,202.49851279000598,210.76543209876547,185.5055747789312,197.72839506172843
DAVAO DEL SUR,100.94640381564393,121.55659507402376,115.78387010912965,123.02051227548091,113.67359798361689,133.84889946460441,145.27158171339843
LANAO DEL SUR,96.41424252881058,161.4242732373687,197.78935935232428,247.6390758738613,258.3904048191043,264.09951224065907,630.0442349596461
ISABELA,120.54533747655441,143.485036946721,188.48524485315912,168.18351882654693,159.82213282604906,132.73598831764573,157.2316693341672
ZAMBOANGA DEL SUR,58.34964019694482,67.36052409129333,73.84136946013832,70.33531510107017,81.42857142857143,65.42857142857143,78.28947368421052
SAMAR,104.86927865845244,123.12046851226954,172.49931320777753,167.34386701848123,155.86425586007826,199.11452044416026,249.54981438377175
DAVAO ORIENTAL,141.10110803324096,186.76515851031087,173.84731670445953,178.98817293619717,184.13037458961276,234.375,206.267627086998
APAYAO,287.3044912262621,347.8231815296201,353.5,365.5,314.6750318596217,256.56434911242604,262.5129606937505
AKLAN,162.60083013548447,171.22769064359113,156.02866319705691,216.90672153635114,221.8681500856527,274.40065569291704,224.07921748581106
SULTAN KUDARAT,146.52555236970824,151.5854275594536,147.81256109274193,170.76218242398994,210.66524107053357,178.62195489270812,163.0276806551005
