First Name,Middle Name,Last Name
CHERRY PIE,BALLESTEROS,ACOSTA
ANACLETO,HAMOY,OLVIS
PRIMO,PABLO,LACAMBRA
EMEDIOS,MARBAN,HALLAZGO
EDGAR,TELA,LABUNI
DICK,PISO,BALTING
ALBERTO,GUANZON,CUIZON
ANTOLIN,MEJOS,BALUYOT
OCTAVIUS,LECHIDO,LABTIC
PRIMITIVO,NACU,BALUYOT
LEIZEL,AMIRUDDIN,HALUN
LUCITO,TAMSE,BALUYOS
JEREMIAS,,BALUYAN
CONRADO,CALIMBAYAN,BALURAN
LEONIDES,BAGARES,BALURAN
IMADODEN H.NOR,,BALT
PETERSON,ALINGOD,PANGANIBAN
EVERGISTO,,BALUNOS
ADRIANO,GORDILLO,BALUGTOD
VICENTE,CABANTAC,LABUAC
NOLI,SANTIAGO,BALUGO
JOSE,PARISAS,BALUDA
JONATHAN,REFUGIO,BALUCOS
ROSARIO,BUNOT,LABUENG
RENATO,,MILLOROSO
JAIME,EMBOL,BALUCAN
RICHIE,OPULENTISIMA,OLVIS
DINA SANTIAGA,,BALUNGAY
MARITA,ABAWAG,BALLESTER
JING,ABENDAN,BALOYO
ILUMINADO,,BALONGA
MALAGEM,,PANGANSAYAN
NOEMI,TIU,BALLOGUING
EVAN HOPE,DIMAVIVAS,OLVIS
FLORO,FUEGO,BALTAR
SALVADOR,,CUPAT
RAMON,MAGLIA,CUPIDO
MA. ANTONIA,CARBALLO,CUNETA
AMOR,PACQUING,LACHICA
WILLIAM,POLICARPIO,CURA
VIRGILIO,,LACIA
PRIMITIVO,FLORANTE,BALINO
CONSTANTE,RAYELA,BALINO
GILBERT,BACLAYON,LACIDA
FAUSTINO,ATIWAG,OLOWAN
JAIME,,CURADA
JUANITO,BALBINO,BALINGSAT
JOSE,,BALINGOAY
ROMANA,,PANGILINAN
LORY,,BALTAO
MARIO,VILLAFUERTE,BALUYOT
NOEL,,LACDANG
MANUEL,,PANGANIBAN
SERGIO,CARRASCO,BALTAZAR
CEFERINO,ROSALES,LACABA
ANDRE,,BALTAZAR
CLODUALDA,LACAMBRA,LACABA
BERNARDINO,ARNOZA,CUIZON
RICARDO,EVILLA,CUIZON
IAN,,BALTAZAR
EFREN,RITO,BALTAZAR
JERRY,RODRIGO,CUIZON
ELISEO,,BALTAZAR
FERNANDO,CELORICO,BALTAZAR
FRANCIS,,OLVIS
MISUG,GUINA,PANGCOGA
PIO,SINGILAN,CUPASAN
NESTOR,ANGOB,OLVIS
RAMON,,LACBAIN
TIMOTEO,DAILEG,BALMORES
MINA JOY,CORRALES,PANGASINAN
MELANIE,ALIPANTE,BALMEO
ROBERTO,BELGADO,BALMEDINA
DANTE,AQUINO,LACASTE
EDITH,ANDAYA,HALLARE
ELISEO,GUILLERMO,CRESPO
MELCHOR,LIBRES,CUALTEROS
EDGARDO,COLINA,LABELLA
ROMMEL,TAMONDONG,BARROGA
JOEL,CUSTODIO,PANALIGAN
REMEGIO,,BARROGA
FRANCISCO,NGAYAN,CRISTOBAL
FORTUNATO,CALDEA,HARE
RYAN ANTHONY,BOOC,CULIMA
WENCESLAO,,BARROGA
ALLAN,TENGCO,PANALIGAN
ARMANDO,MARTIZANO,BARRIOS
ARNAN,CAPULONG,PANALIGAN
ABDUSALAM,,HARADJI
ROLANDO,SAMONTE,BARRIOS
DOMINADOR,POLIQUIT,CRUDA
JESSICA JANE,,KOPPIN
JUNE,CLOTARIO,BARRION
LARRY,,HAPIN
ROBERTO,BALBA,BARRION
MARCELO,,CRUZ
HADJI AKMAD,PANGALAO,KOMPANIA
HAIDE,,BARROMA
RANDY BOTS,BERNALTE,BARROGA
ORVILLE,,BALLITOC
SAMUEL,CAYABYAB,MILLORA
ARIEL,ASIS,HALLARDA
FIEL,VIRTUDAZO,CULPA
MAGDALENA,DEPIÑA,BALLICUD
PAULINO,POBLADOR,BALLEZA
JALLAINIE,MUTI,PANGCATAN
ZOSIMO,MACABIGTAS,LACBAY
ESTEBAN,SO,BALLESTEROS
MAILAH HAYLEE,LORENZO,BALLESTEROS
CARLITO,CUPIN,CUMBA
CESAR,CUPIN,CUMBA
DANILO,MAS,BALLESTEROS
EMILIO,TEJARES,BALLESTEROS
ELEUTERIA,OTERO,LACBAYO
WILLIAM,,BALLESTEROS
FERNANDO,OCAMPO,CUMIGAD
VICENTE,RUADO,PANGASIAN
LUISITO,,CUMIGAD
GEORGE,,BALMACEDA
NENITA,,LACAYA
GIOVANNI,ALDAVE,BALMADRID
ROMULO,,BALONGA
NELSON,BALAGUER,BALOLOY
ALBERT,ARELLANO,CUKINGNAN
WILFREDO,,BALOALOA
CONRADO,,LACANILAO
BENITO,,BALNEG
LUIS RAUL,EDUARTE,BALNEG
TIRSO,GONZALES,LACANILAO
LOPE,BONGCAWEL,CULANAG
FRANK,,LACAMEN
ISIDRO,CASTRO,BALMORIA
EDUARDO,RIVAS,BALMACEDA
MARK BING,MANAOIS,BARROMA
APRODICIO,CANLAS,PANGILINAN
CESAR,MALENAB,CUNTAPAY
SEVERINO,FERRER,BANGCAYA
CECILIO,PACLITA,LABINE
ANNABELLE,BOZA,HAMOY
PRIMO,CRUZ,PANGAN
ROSALINA,,BANGNGAT
DAISY,OREIRO,OMANIO
FAUSTO,TALBINO,LABINIO
FRANKLIN,,OMANDAM
RAFAEL,LICUBEN,BANGIBANG
FERNANDO,,CUATON
JOSEPHINE,MENOR,BANGSIL
RUBEN,MALANDIAY,OMANDAM
